,State,Year,Quarter,District,Registered_User
399,arunachal-pradesh,2018,2,west kameng district,3442
400,arunachal-pradesh,2018,2,shi yomi district,80
401,arunachal-pradesh,2018,2,east kameng district,343
402,arunachal-pradesh,2018,2,lohit district,1898
403,arunachal-pradesh,2018,2,lepa rada district,318
404,arunachal-pradesh,2018,2,lower dibang valley district,893
405,arunachal-pradesh,2018,2,longding district,412
406,arunachal-pradesh,2018,2,west siang district,1224
407,arunachal-pradesh,2018,2,kamle district,37
408,arunachal-pradesh,2018,2,upper siang district,481
409,arunachal-pradesh,2018,2,kurung kumey district,153
410,arunachal-pradesh,2018,2,siang district,293
411,arunachal-pradesh,2018,2,kra daadi district,144
412,arunachal-pradesh,2018,2,changlang district,2014
413,arunachal-pradesh,2018,2,pakke kessang district,66
414,arunachal-pradesh,2018,2,east siang district,2646
415,arunachal-pradesh,2018,2,upper subansiri district,883
416,arunachal-pradesh,2018,2,tawang district,2266
417,arunachal-pradesh,2018,2,namsai district,1276
418,arunachal-pradesh,2018,3,lower subansiri district,1033
419,arunachal-pradesh,2018,3,tirap district,1226
420,arunachal-pradesh,2018,3,papum pare district,16009
421,arunachal-pradesh,2018,3,anjaw district,542
422,arunachal-pradesh,2018,3,lower siang district,717
423,arunachal-pradesh,2018,3,dibang valley district,145
424,arunachal-pradesh,2018,3,west kameng district,4765
425,arunachal-pradesh,2018,3,shi yomi district,118
426,arunachal-pradesh,2018,3,east kameng district,521
427,arunachal-pradesh,2018,3,lohit district,2612
428,arunachal-pradesh,2018,3,lepa rada district,431
429,arunachal-pradesh,2018,3,lower dibang valley district,1286
430,arunachal-pradesh,2018,3,longding district,644
431,arunachal-pradesh,2018,3,west siang district,1652
432,arunachal-pradesh,2018,3,kamle district,65
433,arunachal-pradesh,2018,3,upper siang district,646
434,arunachal-pradesh,2018,3,kurung kumey district,222
435,arunachal-pradesh,2018,3,siang district,373
436,arunachal-pradesh,2018,3,kra daadi district,190
437,arunachal-pradesh,2018,3,changlang district,2889
438,arunachal-pradesh,2018,3,pakke kessang district,103
439,arunachal-pradesh,2018,3,east siang district,3590
440,arunachal-pradesh,2018,3,upper subansiri district,1169
441,arunachal-pradesh,2018,3,tawang district,3112
442,arunachal-pradesh,2018,3,namsai district,1862
443,arunachal-pradesh,2018,4,lower subansiri district,1459
444,arunachal-pradesh,2018,4,tirap district,1684
445,arunachal-pradesh,2018,4,papum pare district,21342
446,arunachal-pradesh,2018,4,anjaw district,744
447,arunachal-pradesh,2018,4,lower siang district,936
448,arunachal-pradesh,2018,4,dibang valley district,178
449,arunachal-pradesh,2018,4,west kameng district,6492
450,arunachal-pradesh,2018,4,shi yomi district,144
451,arunachal-pradesh,2018,4,east kameng district,691
452,arunachal-pradesh,2018,4,lohit district,3588
453,arunachal-pradesh,2018,4,lepa rada district,548
454,arunachal-pradesh,2018,4,lower dibang valley district,1827
455,arunachal-pradesh,2018,4,longding district,923
456,arunachal-pradesh,2018,4,west siang district,2117
457,arunachal-pradesh,2018,4,kamle district,109
458,arunachal-pradesh,2018,4,upper siang district,868
459,arunachal-pradesh,2018,4,kurung kumey district,321
460,arunachal-pradesh,2018,4,siang district,483
461,arunachal-pradesh,2018,4,kra daadi district,255
462,arunachal-pradesh,2018,4,changlang district,4036
463,arunachal-pradesh,2018,4,pakke kessang district,138
464,arunachal-pradesh,2018,4,east siang district,4813
465,arunachal-pradesh,2018,4,upper subansiri district,1576
466,arunachal-pradesh,2018,4,tawang district,4085
467,arunachal-pradesh,2018,4,namsai district,2495
468,arunachal-pradesh,2019,1,lower subansiri district,1879
469,arunachal-pradesh,2019,1,tirap district,2082
470,arunachal-pradesh,2019,1,papum pare district,26298
471,arunachal-pradesh,2019,1,anjaw district,934
472,arunachal-pradesh,2019,1,lower siang district,1123
473,arunachal-pradesh,2019,1,dibang valley district,211
474,arunachal-pradesh,2019,1,west kameng district,8115
475,arunachal-pradesh,2019,1,shi yomi district,186
476,arunachal-pradesh,2019,1,east kameng district,876
477,arunachal-pradesh,2019,1,lohit district,4416
478,arunachal-pradesh,2019,1,lepa rada district,710
479,arunachal-pradesh,2019,1,lower dibang valley district,2314
480,arunachal-pradesh,2019,1,longding district,1152
481,arunachal-pradesh,2019,1,west siang district,2656
482,arunachal-pradesh,2019,1,kamle district,141
483,arunachal-pradesh,2019,1,upper siang district,1125
484,arunachal-pradesh,2019,1,kurung kumey district,385
485,arunachal-pradesh,2019,1,siang district,651
486,arunachal-pradesh,2019,1,kra daadi district,350
487,arunachal-pradesh,2019,1,changlang district,5210
488,arunachal-pradesh,2019,1,pakke kessang district,162
489,arunachal-pradesh,2019,1,east siang district,5899
490,arunachal-pradesh,2019,1,upper subansiri district,1906
491,arunachal-pradesh,2019,1,tawang district,5023
492,arunachal-pradesh,2019,1,namsai district,3153
493,arunachal-pradesh,2019,2,lower subansiri district,2463
494,arunachal-pradesh,2019,2,tirap district,2697
495,arunachal-pradesh,2019,2,papum pare district,32800
496,arunachal-pradesh,2019,2,anjaw district,1175
497,arunachal-pradesh,2019,2,lower siang district,1457
498,arunachal-pradesh,2019,2,dibang valley district,241
499,arunachal-pradesh,2019,2,west kameng district,9782
500,arunachal-pradesh,2019,2,shi yomi district,225
501,arunachal-pradesh,2019,2,east kameng district,1075
502,arunachal-pradesh,2019,2,lohit district,5485
503,arunachal-pradesh,2019,2,lepa rada district,903
504,arunachal-pradesh,2019,2,lower dibang valley district,2842
505,arunachal-pradesh,2019,2,longding district,1420
506,arunachal-pradesh,2019,2,west siang district,3393
507,arunachal-pradesh,2019,2,kamle district,212
508,arunachal-pradesh,2019,2,upper siang district,1372
509,arunachal-pradesh,2019,2,kurung kumey district,481
510,arunachal-pradesh,2019,2,siang district,831
511,arunachal-pradesh,2019,2,kra daadi district,440
512,arunachal-pradesh,2019,2,changlang district,6884
513,arunachal-pradesh,2019,2,pakke kessang district,211
514,arunachal-pradesh,2019,2,east siang district,7319
